epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8582,2.53238,4.46978,2.42254,0.01109,0.88554,0.36509,0.19215,2.56006,5.71941,2.45802,0.000651515,0.000651515,0.000651515
2,31.4923,2.89103,3.65396,2.6646,0.44119,0.35843,0.33853,0.13785,3.59385,5.54332,4.24825,0.00130852,0.00130852,0.00130852
3,43.6209,3.12763,3.53432,2.79009,0.48659,0.48193,0.46694,0.19498,3.5886,4.00305,3.40373,0.00195574,0.00195574,0.00195574
4,55.5513,3.1066,3.25288,2.78254,0.56278,0.48645,0.49879,0.22053,3.58552,5.10708,3.3985,0.001956,0.001956,0.001956
5,67.3205,3.00082,3.03082,2.73467,0.53457,0.53163,0.52193,0.24427,3.2886,3.91467,3.01735,0.00194133,0.00194133,0.00194133
6,78.7592,2.94454,2.80933,2.69422,0.73302,0.68976,0.76021,0.40748,2.93757,2.38862,2.71008,0.00192667,0.00192667,0.00192667
7,90.5007,2.87431,2.7675,2.693,0.71221,0.67087,0.71813,0.38585,2.98552,2.60196,2.77139,0.001912,0.001912,0.001912
8,102.027,2.83377,2.6647,2.67239,0.74424,0.70996,0.77658,0.40986,2.97038,2.39853,2.64868,0.00189733,0.00189733,0.00189733
9,113.814,2.87655,2.70144,2.68647,0.77384,0.70597,0.77775,0.42357,2.8997,2.28541,2.73359,0.00188267,0.00188267,0.00188267
10,125.755,2.76796,2.58043,2.64069,0.72261,0.72186,0.78642,0.44685,2.71175,2.42328,2.57686,0.001868,0.001868,0.001868
11,137.36,2.77145,2.56613,2.62007,0.73777,0.74151,0.78935,0.4254,2.96718,2.18359,2.75159,0.00185333,0.00185333,0.00185333
12,149.109,2.79939,2.52263,2.61211,0.72212,0.72405,0.76027,0.42404,2.84976,2.20133,2.54973,0.00183867,0.00183867,0.00183867
13,160.818,2.71444,2.44977,2.59808,0.75025,0.72386,0.79319,0.45342,2.7528,2.4393,2.61921,0.001824,0.001824,0.001824
14,172.517,2.71024,2.41223,2.59452,0.83936,0.71536,0.82599,0.47539,2.70857,2.01214,2.49706,0.00180933,0.00180933,0.00180933
15,184.396,2.67243,2.3689,2.57724,0.78634,0.74824,0.81065,0.48133,2.60234,2.28058,2.44315,0.00179467,0.00179467,0.00179467
