epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7158,1.25274,1.84678,1.2473,0.67971,0.43763,0.61764,0.30643,1.43392,2.05698,1.27662,0.000653061,0.000653061,0.000653061
2,37.1203,1.36027,1.29928,1.30226,0.47367,0.50317,0.47732,0.2344,1.73171,1.88468,1.68148,0.00130884,0.00130884,0.00130884
3,53.0447,1.45863,1.34804,1.37271,0.50236,0.5222,0.48615,0.19299,1.96881,2.53292,1.96413,0.00195362,0.00195362,0.00195362
4,68.2516,1.47698,1.33277,1.39386,0.69835,0.54545,0.6093,0.28398,1.89871,2.09183,1.81934,0.0019505,0.0019505,0.0019505
5,83.7783,1.4301,1.28104,1.36727,0.71331,0.7093,0.74562,0.38972,1.56628,2.24415,1.48503,0.001934,0.001934,0.001934
6,98.7725,1.40119,1.20889,1.35102,0.76058,0.74736,0.7912,0.41807,1.54067,1.66444,1.46734,0.0019175,0.0019175,0.0019175
7,113.982,1.3626,1.17089,1.32962,0.66386,0.56554,0.60831,0.2759,1.9918,1.73937,1.88413,0.001901,0.001901,0.001901
8,128.885,1.36024,1.13993,1.33103,0.82016,0.79387,0.85049,0.4498,1.58286,1.17366,1.41769,0.0018845,0.0018845,0.0018845
9,143.93,1.32966,1.11556,1.31216,0.80813,0.8129,0.86632,0.49762,1.39657,1.00518,1.30597,0.001868,0.001868,0.001868
10,159.057,1.32676,1.08998,1.30421,0.84922,0.78587,0.87212,0.51053,1.36239,0.98628,1.26935,0.0018515,0.0018515,0.0018515
11,174.24,1.30804,1.07048,1.30408,0.83211,0.73573,0.8391,0.46888,1.44899,1.12172,1.38203,0.001835,0.001835,0.001835
12,189.7,1.2944,1.04245,1.29805,0.78538,0.80867,0.85149,0.49216,1.39256,1.02047,1.31068,0.0018185,0.0018185,0.0018185
13,204.78,1.30025,1.06683,1.29555,0.86329,0.86469,0.90736,0.53664,1.31119,0.85582,1.24502,0.001802,0.001802,0.001802
14,220.465,1.27508,1.01717,1.28931,0.73477,0.76431,0.80027,0.45622,1.4279,1.11571,1.38905,0.0017855,0.0017855,0.0017855
15,235.714,1.27346,1.01134,1.28593,0.84032,0.80665,0.88896,0.527,1.32104,0.93934,1.25883,0.001769,0.001769,0.001769
16,251.466,1.26396,1.00052,1.27508,0.88646,0.84355,0.91611,0.56849,1.27694,0.81336,1.25105,0.0017525,0.0017525,0.0017525
17,266.63,1.26683,1.00177,1.27529,0.80959,0.78964,0.85936,0.51513,1.28927,1.00106,1.25719,0.001736,0.001736,0.001736
18,282.286,1.25089,0.96644,1.26895,0.88233,0.83192,0.89975,0.54614,1.26654,0.90421,1.22687,0.0017195,0.0017195,0.0017195
19,297.402,1.24668,0.9727,1.26692,0.8666,0.82452,0.90336,0.5387,1.32486,0.89566,1.25406,0.001703,0.001703,0.001703
20,313.006,1.23618,0.95702,1.26098,0.90769,0.83157,0.92168,0.57618,1.24072,0.80121,1.2234,0.0016865,0.0016865,0.0016865
21,328.176,1.22694,0.94219,1.25507,0.84936,0.78672,0.87336,0.52764,1.27325,1.00672,1.25062,0.00167,0.00167,0.00167
22,343.675,1.21814,0.92993,1.25284,0.87369,0.85729,0.92422,0.59224,1.22741,0.77627,1.21801,0.0016535,0.0016535,0.0016535
23,358.668,1.21984,0.93368,1.25371,0.91232,0.86891,0.93319,0.5855,1.20345,0.7601,1.19605,0.001637,0.001637,0.001637
24,374.109,1.22491,0.93947,1.25483,0.89062,0.86681,0.93263,0.58312,1.21081,0.79526,1.21385,0.0016205,0.0016205,0.0016205
