Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/Yolov8/yolov11_120e_saved_model/yolov11_120e_full_integer_quant.tflite
Output: /content/drive/MyDrive/Yolov8/yolov11_120e_saved_model/yolov11_120e_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

SOFTMAX                        2          More than one subgraph is not supported
PACK                           2          More than one subgraph is not supported
PAD                            5          Mapped to Edge TPU
PAD                            2          More than one subgraph is not supported
DEPTHWISE_CONV_2D              6          More than one subgraph is not supported
SUB                            2          More than one subgraph is not supported
QUANTIZE                       3          More than one subgraph is not supported
LOGISTIC                       44         More than one subgraph is not supported
LOGISTIC                       34         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
TRANSPOSE                      2          Operation is otherwise supported, but not mapped due to some unspecified limitation
TRANSPOSE                      3          Mapped to Edge TPU
TRANSPOSE                      8          More than one subgraph is not supported
STRIDED_SLICE                  12         More than one subgraph is not supported
STRIDED_SLICE                  11         Mapped to Edge TPU
CONCATENATION                  15         More than one subgraph is not supported
CONCATENATION                  8          Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          More than one subgraph is not supported
CONV_2D                        46         More than one subgraph is not supported
CONV_2D                        163        Mapped to Edge TPU
FULLY_CONNECTED                4          More than one subgraph is not supported
MUL                            34         Mapped to Edge TPU
MUL                            46         More than one subgraph is not supported
SPLIT                          4          For example, a fully-connected or softmax layer with 2D output
SPLIT                          2          Mapped to Edge TPU
ADD                            7          Mapped to Edge TPU
ADD                            10         More than one subgraph is not supported
RESHAPE                        13         More than one subgraph is not supported
RESHAPE                        5          Mapped to Edge TPU
