epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0306,1.2736,1.68417,1.22921,0.84368,0.60963,0.78722,0.44606,1.38611,1.75264,1.21285,0.000651515,0.000651515,0.000651515
2,22.4424,1.37469,1.29288,1.30962,0.43668,0.44947,0.36412,0.14411,2.1012,2.18996,1.89471,0.00130852,0.00130852,0.00130852
3,31.701,1.45685,1.34775,1.37179,0.62468,0.65512,0.65862,0.32172,1.61818,1.67234,1.51491,0.00195574,0.00195574,0.00195574
4,40.7489,1.43283,1.2968,1.36473,0.66233,0.68072,0.67898,0.3612,1.55118,1.82327,1.44695,0.001956,0.001956,0.001956
5,50.149,1.39798,1.2481,1.34217,0.55902,0.59183,0.54047,0.23507,1.71058,2.08682,1.6472,0.00194133,0.00194133,0.00194133
6,59.2062,1.38111,1.20569,1.33436,0.81303,0.7924,0.85218,0.49505,1.33491,1.15329,1.29356,0.00192667,0.00192667,0.00192667
7,68.2118,1.36671,1.15649,1.33019,0.80696,0.73193,0.80806,0.44771,1.41595,1.27433,1.35558,0.001912,0.001912,0.001912
8,77.5504,1.32486,1.11535,1.3062,0.82605,0.82246,0.88081,0.50688,1.39243,0.96137,1.28505,0.00189733,0.00189733,0.00189733
9,86.4829,1.36943,1.1528,1.34248,0.7451,0.66717,0.72979,0.43633,1.33691,1.22264,1.29688,0.00188267,0.00188267,0.00188267
10,95.4591,1.30499,1.08619,1.29926,0.82686,0.79066,0.87497,0.53065,1.28611,1.00762,1.26148,0.001868,0.001868,0.001868
11,104.493,1.31173,1.09354,1.29971,0.78114,0.71687,0.78869,0.45739,1.45894,1.23952,1.42327,0.00185333,0.00185333,0.00185333
12,113.838,1.30675,1.08271,1.29979,0.84652,0.81404,0.89351,0.56062,1.21416,0.93277,1.19484,0.00183867,0.00183867,0.00183867
13,122.849,1.27062,1.02884,1.2797,0.82231,0.80873,0.8674,0.52341,1.27652,1.02975,1.26171,0.001824,0.001824,0.001824
14,131.716,1.29863,1.03943,1.30131,0.85194,0.85241,0.90635,0.56643,1.2201,0.89022,1.21293,0.00180933,0.00180933,0.00180933
15,141.025,1.26549,1.01185,1.28092,0.87723,0.78464,0.88974,0.5575,1.23221,0.90221,1.24909,0.00179467,0.00179467,0.00179467
16,150.076,1.25799,1.00116,1.27205,0.8574,0.78783,0.87509,0.54361,1.24648,0.93276,1.23258,0.00178,0.00178,0.00178
17,159.081,1.27337,0.99691,1.28622,0.88385,0.85241,0.91369,0.56352,1.24141,0.79997,1.23116,0.00176533,0.00176533,0.00176533
18,168.123,1.23175,0.97072,1.25871,0.891,0.83711,0.92274,0.58492,1.18871,0.814,1.20308,0.00175067,0.00175067,0.00175067
19,177.467,1.22466,0.95184,1.2499,0.82235,0.7997,0.85096,0.5131,1.19838,1.04256,1.2083,0.001736,0.001736,0.001736
20,186.365,1.22621,0.94545,1.25268,0.83717,0.84789,0.8956,0.56523,1.20855,0.83751,1.21668,0.00172133,0.00172133,0.00172133
21,195.406,1.20959,0.91757,1.24257,0.8506,0.79217,0.89253,0.56984,1.21453,0.8575,1.18636,0.00170667,0.00170667,0.00170667
22,204.633,1.20373,0.9129,1.23172,0.83945,0.83283,0.8885,0.57112,1.1936,0.81919,1.19005,0.001692,0.001692,0.001692
23,213.641,1.1927,0.91585,1.23933,0.90901,0.85843,0.93454,0.61099,1.13908,0.78535,1.16837,0.00167733,0.00167733,0.00167733
