epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8518,1.21854,1.79869,1.30785,0.68665,0.73661,0.70253,0.37163,1.35764,1.54527,1.42022,0.000648649,0.000648649,0.000648649
2,50.2537,1.2764,1.18378,1.36276,0.77535,0.68605,0.74078,0.38364,1.39928,1.56121,1.66042,0.00130229,0.00130229,0.00130229
3,69.9406,1.3348,1.21041,1.43634,0.44648,0.4556,0.39225,0.16831,1.95958,2.39041,2.3762,0.00194274,0.00194274,0.00194274
4,89.5011,1.40111,1.2323,1.48223,0.54621,0.55285,0.5077,0.20419,1.9198,2.74221,2.36887,0.0019406,0.0019406,0.0019406
5,108.861,1.34928,1.1743,1.45697,0.75833,0.74419,0.79191,0.40199,1.60817,1.47076,1.85891,0.0019208,0.0019208,0.0019208
6,128.634,1.34817,1.13896,1.4518,0.67472,0.65341,0.67848,0.32912,1.69965,1.72128,1.95539,0.001901,0.001901,0.001901
7,148.373,1.32952,1.08262,1.44137,0.68025,0.62685,0.6852,0.36692,1.58442,1.52812,1.8297,0.0018812,0.0018812,0.0018812
8,167.797,1.30646,1.05905,1.41953,0.78921,0.69345,0.77157,0.43474,1.40994,1.26852,1.64227,0.0018614,0.0018614,0.0018614
9,187.495,1.30054,1.02466,1.42239,0.79198,0.66407,0.76171,0.42006,1.59151,1.23455,1.71903,0.0018416,0.0018416,0.0018416
10,206.849,1.28682,1.00677,1.41258,0.70891,0.66173,0.7225,0.38162,1.5816,1.21816,1.80338,0.0018218,0.0018218,0.0018218
11,226.242,1.2696,0.98781,1.40486,0.81313,0.80494,0.84486,0.46786,1.41927,0.95949,1.65397,0.001802,0.001802,0.001802
12,245.885,1.26282,0.97471,1.3986,0.90155,0.81317,0.89917,0.54152,1.35059,0.85635,1.57789,0.0017822,0.0017822,0.0017822
13,265.134,1.25664,0.95478,1.3953,0.86967,0.8535,0.91279,0.5504,1.29985,0.78504,1.54817,0.0017624,0.0017624,0.0017624
14,284.704,1.24636,0.93241,1.38098,0.86673,0.84038,0.90027,0.52361,1.33169,0.89847,1.53594,0.0017426,0.0017426,0.0017426
15,304.205,1.22964,0.92444,1.36874,0.87014,0.78753,0.88331,0.53314,1.34181,0.84829,1.55228,0.0017228,0.0017228,0.0017228
16,323.735,1.206,0.91352,1.35932,0.90356,0.83189,0.91779,0.56921,1.21124,0.80005,1.4436,0.001703,0.001703,0.001703
17,343.842,1.22079,0.90273,1.37456,0.81497,0.80083,0.85283,0.50796,1.29032,0.92092,1.55005,0.0016832,0.0016832,0.0016832
18,364.084,1.20409,0.8976,1.36487,0.89618,0.86683,0.9192,0.57934,1.2,0.72996,1.43022,0.0016634,0.0016634,0.0016634
19,385.666,1.21553,0.89016,1.37062,0.88044,0.85729,0.91637,0.56453,1.26381,0.78963,1.46341,0.0016436,0.0016436,0.0016436
20,406.049,1.2118,0.88406,1.3616,0.91634,0.88584,0.94183,0.60052,1.1943,0.66313,1.43169,0.0016238,0.0016238,0.0016238
21,425.902,1.18564,0.848,1.34627,0.89592,0.82803,0.91193,0.58328,1.19039,0.76352,1.43233,0.001604,0.001604,0.001604
22,445.879,1.17288,0.84115,1.34888,0.92362,0.88201,0.93636,0.5962,1.21229,0.67164,1.45105,0.0015842,0.0015842,0.0015842
23,465.676,1.17621,0.85091,1.3482,0.90244,0.84249,0.91498,0.55531,1.27381,0.75056,1.5196,0.0015644,0.0015644,0.0015644
24,485.524,1.16605,0.82819,1.33012,0.88395,0.8857,0.93102,0.60367,1.16309,0.7852,1.40946,0.0015446,0.0015446,0.0015446
25,505.701,1.15813,0.83551,1.3223,0.8959,0.86423,0.92016,0.59207,1.20862,0.69014,1.49053,0.0015248,0.0015248,0.0015248
26,525.402,1.15922,0.81629,1.33181,0.89713,0.86655,0.92482,0.59811,1.16126,0.68981,1.39708,0.001505,0.001505,0.001505
27,545.691,1.14879,0.81432,1.32677,0.86746,0.8277,0.88856,0.53051,1.31259,0.81783,1.55482,0.0014852,0.0014852,0.0014852
28,565.791,1.17239,0.81094,1.34138,0.90123,0.91755,0.95273,0.60709,1.20621,0.63199,1.41953,0.0014654,0.0014654,0.0014654
29,585.788,1.15152,0.81148,1.31642,0.92123,0.90246,0.94947,0.60372,1.18365,0.66136,1.41207,0.0014456,0.0014456,0.0014456
30,605.637,1.1623,0.81079,1.32109,0.92492,0.85951,0.93589,0.61651,1.19946,0.67071,1.42457,0.0014258,0.0014258,0.0014258
31,625.25,1.133,0.79905,1.32015,0.91744,0.88104,0.94068,0.61886,1.17103,0.63885,1.39745,0.001406,0.001406,0.001406
32,645.074,1.13403,0.79902,1.31005,0.91096,0.87605,0.94593,0.60938,1.15751,0.69148,1.39837,0.0013862,0.0013862,0.0013862
33,664.577,1.1437,0.79101,1.31106,0.90484,0.89535,0.94849,0.63282,1.10417,0.6636,1.3493,0.0013664,0.0013664,0.0013664
34,683.863,1.12795,0.78633,1.3057,0.90569,0.8832,0.94724,0.64109,1.13441,0.64432,1.37311,0.0013466,0.0013466,0.0013466
35,703.405,1.1157,0.77554,1.30208,0.92897,0.89852,0.95171,0.63271,1.12675,0.60769,1.37245,0.0013268,0.0013268,0.0013268
36,722.874,1.12153,0.76683,1.30487,0.89277,0.88161,0.93521,0.60083,1.16645,0.68154,1.40926,0.001307,0.001307,0.001307
